DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20020614,70.12,73.20,70.00,72.85,3226900,0
20020617,73.20,75.50,73.20,75.34,3033800,0
20020618,75.00,76.35,73.89,75.78,9861400,0
20020619,74.90,75.69,74.03,74.45,2669500,0
20020620,73.85,74.15,72.25,72.70,3547600,0
20020621,72.71,72.89,70.15,70.55,4208200,0
20020624,70.60,72.07,69.38,71.45,5426400,0
20020625,72.45,73.70,71.35,71.35,5695700,0
20020626,69.35,71.25,69.03,70.80,5397300,0
20020627,72.00,73.00,70.68,73.00,4045200,0
20020628,72.50,74.40,72.50,73.35,3451100,0
20020701,73.75,74.27,71.00,71.14,3087500,0
20020702,70.95,71.40,69.92,70.70,3801000,0
20020703,69.92,70.95,69.10,70.20,3422100,0
20020704,70.20,70.20,70.20,70.20,0,0
20020705,71.75,74.20,71.50,73.95,2084900,0
20020708,73.75,74.60,73.05,73.60,2868400,0
20020709,73.15,74.20,70.83,70.91,4132600,0
20020710,73.35,74.40,70.99,71.55,11794100,0
20020711,71.52,73.25,69.93,73.25,8876600,0
20020712,72.75,73.77,72.12,73.15,4555100,0
20020715,73.07,73.10,70.42,72.95,5926400,0
20020716,71.53,73.15,71.40,72.65,5814800,0
20020717,76.63,76.63,71.73,74.48,7503200,0
20020718,74.49,76.00,74.21,75.60,8895300,0
20020719,74.30,77.00,70.96,77.00,48141000,0
20020722,74.50,74.70,71.85,72.00,18355600,0
20020723,71.56,71.70,67.22,67.73,14423000,0
20020724,67.73,71.29,65.55,70.85,12823800,0
20020725,69.91,71.85,64.00,69.31,8187400,0
20020726,69.50,69.90,68.20,69.58,5662700,0
20020729,71.55,72.70,71.13,72.70,5969100,0
20020730,72.20,75.15,72.05,73.90,5456400,0
20020731,73.91,74.40,72.10,73.00,5041700,0
20020801,72.65,72.99,71.73,71.99,3580900,0
20020802,71.50,72.00,69.75,70.49,3928900,0
20020805,70.49,70.49,67.75,68.05,4278700,0
20020806,69.35,71.48,69.21,69.90,5497400,0
20020807,69.99,71.43,68.95,70.95,5220400,0
20020808,71.00,74.90,70.95,74.30,5165200,0
20020809,73.71,75.88,73.13,75.45,4358500,0
20020812,74.70,75.80,73.82,75.35,4965600,0
20020813,75.21,77.83,74.21,74.79,7857700,0
20020814,74.79,78.75,74.43,78.50,6939800,0
20020815,78.91,79.90,77.83,79.55,7355800,0
20020816,79.15,80.12,78.25,79.53,5196800,0
20020819,79.53,81.97,79.25,81.50,4516200,0
20020820,81.20,81.35,79.83,80.51,4646800,0
20020821,79.95,80.00,74.40,79.88,5200900,0
20020822,79.66,79.98,78.70,79.91,3449500,0
20020823,79.00,79.01,77.51,78.30,2520600,0
20020826,78.84,79.95,77.55,79.75,2305100,0
20020827,80.00,80.73,78.68,79.10,3717100,0
